Model,Feature_details,RMSE,R^2_train,R^2_test,4_Fold_Validation,5_Fold_Validation,Note
Multiple Linear Regression,"['TS', 'DCA', 'PT', 'E']",3.299661364272697,0.0845473958855848,-0.7097259842898613,-2.3150900708334565,-2.249529012791964,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'DCA', 'SD', 'E']",3.323309959822977,0.04979324167129118,-0.7343209373094777,-2.3441642950250525,-2.266990577751746,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TS', 'PT', 'SD', 'E']",3.2909739173960686,0.08577172169765745,-0.7007350006030575,-2.3014787915655064,-2.2300400222847037,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'PCA', 'DCA']",2.1593283754583696,0.22938571050517598,0.2678077083123347,0.2276100892541306,0.23018530624616673,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'PCA', 'PT']",2.1316088848294834,0.2497775397424109,0.2864854850085109,0.24871371354054495,0.2508798641119152,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'PCA', 'SD']",2.165091240983212,0.22566981076257708,0.2638943097322325,0.22435233948606015,0.2269316763384067,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'PCA', 'E']",2.444568823041864,0.23256676609103843,0.061590693527379003,-0.4892521388241461,-0.47028824058992136,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'DCA', 'PT']",2.16174930693622,0.21581695669563328,0.26616499286868156,0.21984980344850522,0.22103114729282206,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'DCA', 'SD']",2.1948959530803647,0.19002395636375535,0.24348830826365653,0.1936840941022971,0.19603164154696637,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'DCA', 'E']",2.6085052055369227,0.20023405548064954,-0.06849177719721866,-0.845188861561159,-0.8087167596744582,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'PT', 'SD']",2.1637213925305043,0.21523299870534596,0.2648254799576031,0.21927922732475844,0.22065641375046985,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'PT', 'E']",2.6001535262458506,0.2259914544847914,-0.061660726927499576,-0.8771772289288604,-0.8415328472853041,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'F', 'SD', 'E']",2.608511977872936,0.20010268536434161,-0.06849732535155684,-0.854775169329353,-0.8155787050463008,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PCA', 'DCA', 'PT']",2.124147399091897,0.25401489084926276,0.2914719162066197,0.2527768574067961,0.2547495110205424,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PCA', 'DCA', 'SD']",2.158508365839048,0.22928499881372655,0.2683637059333578,0.22784533233925117,0.2302304558966906,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PCA', 'DCA', 'E']",2.4275289206896757,0.23601227458841878,0.07462748932622931,-0.4465266657680075,-0.427184445497128,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PCA', 'PT', 'SD']",2.1306631733859,0.24981353287505326,0.2871184614990001,0.24905789896635017,0.251009359752412,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PCA', 'PT', 'E']",2.4307232671162997,0.25723617683034816,0.0721905212654066,-0.514142820448873,-0.492779085670778,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'PCA', 'SD', 'E']",2.4434555643641485,0.23263498730541732,0.06244520366999606,-0.4924067473492457,-0.4698828509850893,"Test_Size = 0.2, Number_Feature = 4"
Multiple Linear Regression,"['TM', 'DCA', 'PT', 'SD']",2.1596582088479472,0.2162339224361901,0.26758400920979475,0.22074242834311783,0.2218299015478606,"Test_Size = 0.2, Number_Feature = 4"
